Allied_Nations,Diplomatic_Meetings_Set,Percent_Of_Forces_Mobilized,Hostile_Nations,Active_Threats,Inactive_Threats,Citizen_Fear_Index,Closest_Threat_Distance(km),Aircraft_Carriers_Responding,Troops_Mobilized(thousands),ID,DEFCON_Level
9,1,0.23,2,12,21,0.417767988,338.14,1,853600,6906,2
7,0,0.47,2,14,25,0.235682819,354.04,1,1073600,7290,4
8,0,0.48,3,39,106,0.52349486,349.8,1,800800,11278,1
9,0,0.48,4,3,11,0.633627019,337.08,1,1029600,6499,3
8,1,0,2,7,14,0.389867841,334.96,1,862400,2272,2
9,1,0.28,2,4,28,0.457415565,347.68,1,1038400,1180,3
13,0,0.49,3,5,21,0.773127753,328.6,1,827200,5780,3
8,1,0.1,3,18,22,0.538179148,338.14,0,836000,12089,2
5,1,0,1,16,46,0.112334802,397.5,1,1047200,10487,3
6,1,0.01,2,3,19,0.272393539,376.3,1,976800,2835,3
8,1,0.14,2,17,42,0.530837004,356.16,1,888800,3697,3
8,0,0.42,2,9,17,0.37958884,345.56,1,1100000,1564,5
8,0,0.06,2,12,50,0.435389134,344.5,0,853600,87,2
8,0,0.31,2,23,49,0.483847283,379.48,1,906400,7845,3
9,1,0.23,2,8,28,0.599853157,358.28,0,818400,6000,2
7,1,0,2,22,37,0.491189427,354.04,1,853600,3168,4
7,0,0.27,2,23,69,0.503671072,381.6,1,827200,11015,2
10,1,0.19,11,31,121,0.656387665,341.32,1,915200,1459,2
8,0,0.37,2,6,17,0.27092511,346.62,1,1100000,7285,4
6,1,0.14,2,15,20,0.372246696,354.04,1,959200,3269,3
8,0,0.36,2,7,17,0.395741557,351.92,1,968000,2453,4
12,1,0.49,3,27,99,0.787812041,330.72,1,836000,10724,2
8,1,0.27,2,11,79,0.473568282,345.56,0,880000,11302,3
7,1,0.02,8,55,124,0.649779736,352.98,1,906400,5524,2
12,0,0.58,3,28,54,0.69236417,329.66,1,1012000,2415,2
7,0,0.3,2,31,45,0.329662261,342.38,0,1135200,3318,3
7,1,0.03,2,7,32,0.442731278,356.16,1,880000,4950,2
6,0,0.23,2,13,25,0.335535977,377.36,1,1003200,8485,2
8,1,0.29,3,16,28,0.508810573,350.86,1,880000,9552,2
7,1,0.13,2,15,20,0.231277533,349.8,1,924000,1318,3
7,1,0.08,4,5,21,0.508810573,367.82,1,968000,11038,2
8,1,0.15,2,27,109,0.435389134,326.48,0,888800,24,3
7,1,0.1,2,12,28,0.464757709,365.7,0,897600,8932,2
9,1,0.22,2,5,28,0.655653451,351.92,1,968000,10990,2
7,1,0.1,2,12,26,0.444199706,362.52,0,924000,11035,2
10,0,0.58,3,7,20,0.508810573,333.9,1,924000,7291,2
7,1,0,2,18,32,0.567547724,361.46,1,836000,1208,2
8,1,0.06,2,5,11,0.457415565,356.16,1,880000,10362,1
8,0,0.19,2,24,38,0.375183554,347.68,1,932800,1159,2
10,0,0.42,2,5,13,0.538179148,342.38,1,915200,9071,3
7,0,0.47,2,17,29,0.350220264,360.4,1,976800,5386,3
8,0,0.26,2,10,28,0.424375918,344.5,1,897600,1330,3
7,1,0.2,2,8,25,0.558737151,369.94,1,827200,3108,2
7,0,0.44,2,14,67,0.519089574,375.24,1,800800,1119,2
8,0,0.4,2,6,15,0.381057269,360.4,1,1038400,10252,3
6,0,0.37,2,18,32,0.244493392,356.16,1,1135200,1491,4
9,1,0.26,2,4,11,0.685022026,356.16,0,853600,7003,2
5,1,0,1,15,28,0.171071953,425.06,1,1073600,12066,4
8,1,0,4,5,14,0.611600587,356.16,0,836000,8060,1
7,0,0.25,2,3,28,0.42804699,349.8,0,862400,9682,2
9,1,0.3,2,5,14,0.582232012,348.74,1,871200,2002,2
6,0,0.21,2,20,51,0.480176211,359.34,1,862400,10816,2
6,0,0.16,2,12,25,0.372246696,375.24,1,1056000,8394,2
8,1,0.23,2,43,145,0.494126285,343.44,1,836000,5069,2
7,1,0.06,2,17,26,0.372246696,372.06,1,1038400,4507,3
8,1,0.02,1,10,20,0.472099853,351.92,1,862400,4835,2
7,0,0.14,3,9,25,0.398678414,355.1,1,941600,6589,3
9,0,0.31,2,4,44,0.655653451,361.46,1,853600,8956,3
6,0,0.04,2,6,14,0.347283407,381.6,1,1003200,6418,1
11,0,0.44,2,6,19,0.491189427,347.68,1,968000,1739,2
9,0,0.49,2,23,59,0.452276065,340.26,1,915200,1081,2
13,1,0.63,2,6,25,0.633627019,336.02,1,950400,230,2
8,0,0.38,1,4,8,0.278267254,348.74,1,976800,7862,3
7,1,0.04,2,12,31,0.508810573,366.76,0,836000,5615,2
6,1,0.01,2,7,25,0.182819383,365.7,1,1170400,8718,3
7,0,0.37,2,9,30,0.470631424,351.92,1,809600,1796,2
8,0,0.3,3,29,63,0.552863436,349.8,1,915200,8646,3
7,0,0.33,2,12,36,0.479441997,343.44,1,880000,925,3
16,1,0.63,3,10,49,0.626284875,320.12,1,1012000,2300,4
9,0,0.54,5,10,22,0.338472834,340.26,1,1232000,6035,4
7,1,0.02,2,26,42,0.341409692,358.28,1,906400,645,3
8,1,0.31,2,38,44,0.267254038,347.68,1,836000,2384,2
8,1,0.14,2,13,39,0.535242291,351.92,0,844800,5453,3
9,0,0.31,3,12,45,0.626284875,351.92,1,888800,9005,3
7,1,0,2,16,38,0.479441997,362.52,1,924000,4175,2
10,0,0.37,2,26,86,0.53010279,354.04,1,888800,9726,3
6,1,0.11,2,13,26,0.219530103,378.42,1,1003200,8335,1
9,0,0.46,2,6,9,0.455947137,346.62,1,1047200,8382,3
8,1,0.1,2,5,11,0.494126285,375.24,0,862400,9993,3
8,1,0.04,4,5,11,0.611600587,362.52,0,836000,875,1
8,1,0.06,2,22,49,0.380323054,357.22,1,959200,2325,3
12,0,0.55,2,42,133,0.787812041,358.28,0,836000,11248,2
10,0,0.43,2,5,16,0.56020558,340.26,1,880000,8489,2
6,1,0.1,2,18,40,0.354625551,380.54,1,888800,7000,3
10,0,0.47,2,9,34,0.46328928,345.56,1,976800,4283,3
6,1,0,2,6,13,0.182819383,387.96,1,1135200,3799,3
8,1,0.55,2,30,110,0.420704846,333.9,1,836000,7372,2
13,0,0.65,4,6,15,0.831864905,349.8,1,976800,9008,3
6,1,0.02,2,31,63,0.42804699,382.66,1,915200,11554,2
7,1,0.18,2,13,28,0.479441997,351.92,1,836000,10570,2
8,1,0.1,6,10,26,0.429515419,356.16,1,950400,12336,3
10,0,0.53,2,6,26,0.567547724,323.3,1,915200,9511,2
7,1,0,2,9,15,0.228340675,351.92,1,924000,9293,3
8,0,0.32,2,14,36,0.237151248,347.68,1,1012000,11680,3
7,1,0.01,2,13,38,0.363436123,355.1,1,968000,9844,3
7,0,0.31,9,24,91,0.570484581,358.28,1,862400,7236,3
9,0,0.57,4,3,10,0.477973568,350.86,1,1311200,11373,4
9,1,0.25,2,9,38,0.516152717,330.72,1,880000,3557,3
10,1,0.42,2,11,103,0.457415565,340.26,1,836000,841,2
7,1,0.01,2,9,22,0.406020558,362.52,1,968000,8482,3
11,0,0.58,4,5,22,0.655653451,331.78,1,1029600,10489,2
7,1,0,2,4,11,0.582232012,372.06,0,818400,8621,2
10,0,0.58,3,5,13,0.489720999,334.96,1,1073600,4769,4
6,1,0.05,2,19,31,0.27092511,377.36,1,1108800,6561,2
11,0,0.47,2,17,39,0.552863436,343.44,0,950400,10412,2
10,0,0.38,3,17,53,0.582232012,327.54,0,880000,722,3
8,1,0.01,2,3,12,0.377386197,374.18,1,1038400,4444,3
7,0,0.33,2,16,144,0.494126285,345.56,1,836000,7948,2
7,1,0.02,2,5,13,0.450073421,384.78,1,915200,9454,4
7,1,0,2,12,30,0.47650514,366.76,1,959200,1518,3
11,0,0.69,2,6,20,0.530837004,341.32,1,1012000,8816,2
7,1,0.22,4,20,98,0.459618209,344.5,0,827200,4818,2
8,1,0.52,2,13,47,0.52349486,321.18,1,932800,11878,2
7,0,0.6,6,13,19,0.475770925,361.46,1,1020800,879,3
7,1,0.02,2,4,11,0.457415565,361.46,1,880000,11437,2
7,1,0.07,2,16,84,0.54185022,376.3,1,862400,253,2
8,0,0.43,2,29,50,0.362701909,350.86,1,1073600,1542,4
7,1,0.05,6,3,8,0.588105727,365.7,0,968000,6986,1
6,1,0,2,7,19,0.399412628,371,0,1003200,10288,2
9,0,0.41,8,48,278,0.831864905,334.96,1,924000,7061,4
7,0,0.19,2,18,36,0.494126285,375.24,1,950400,2189,3
8,0,0.35,3,5,10,0.360499266,347.68,1,1064800,9030,4
7,1,0.09,3,4,20,0.425110132,342.38,0,827200,5662,2
9,1,0.41,8,31,121,0.656387665,334.96,1,924000,1447,3
9,0,0.27,2,1,44,0.567547724,326.48,1,906400,6487,3
7,1,0,4,27,61,0.429515419,355.1,1,950400,505,3
7,1,0.06,2,9,17,0.320851689,336.02,1,880000,3379,3
10,0,0.2,11,18,43,1,343.44,0,827200,9665,2
7,0,0.11,2,30,52,0.417767988,360.4,0,862400,8107,3
10,0,0.46,2,5,16,0.496328928,330.72,1,959200,9715,3
8,0,0.34,2,6,17,0.435389134,349.8,1,862400,11780,3
7,1,0.09,2,24,49,0.508810573,355.1,1,792000,8538,2
8,1,0.26,2,11,41,0.552863436,363.58,1,836000,784,2
8,0,0.33,2,16,38,0.442731278,357.22,1,968000,6884,3
8,0,0.26,2,10,28,0.42143906,336.02,1,897600,2895,3
11,0,0.39,2,3,9,0.347283407,339.2,1,968000,7463,4
7,0,0.36,2,21,65,0.520558003,365.7,1,836000,2426,2
13,0,0.52,3,5,29,0.633627019,339.2,1,950400,2831,4
8,1,0.21,2,21,84,0.398678414,330.72,0,818400,8511,2
7,0,0.21,2,21,36,0.400881057,359.34,1,796400,535,2
7,0,0,1,27,44,0.42804699,355.1,1,1029600,4064,4
10,0,0.49,2,6,13,0.685022026,345.56,1,924000,6740,2
9,0,0.23,2,18,47,0.508076358,357.22,1,880000,4975,4
7,1,0.02,2,17,34,0.464757709,369.94,1,994400,7567,3
12,0,0.55,2,12,29,0.420704846,337.08,1,1056000,7293,4
7,1,0.06,2,4,8,0.441262849,358.28,1,880000,2331,1
8,1,0,2,18,27,0.558737151,359.34,0,844800,11061,1
11,1,0.22,3,33,73,0.758443465,358.28,0,985600,2055,2
8,1,0.21,2,21,66,0.398678414,349.8,0,836000,6088,2
8,1,0.23,2,25,88,0.442731278,358.28,1,818400,1470,3
10,1,0.23,2,19,46,0.685022026,337.08,1,932800,2715,3
7,1,0.31,2,31,89,0.420704846,351.92,0,827200,9561,1
6,0,0.21,2,20,47,0.500734214,359.34,1,853600,10101,2
8,1,0.26,2,17,119,0.464757709,345.56,1,844800,10811,2
7,0,0.33,2,9,29,0.396475771,373.12,1,836000,6245,2
5,1,0.19,8,29,65,0.171071953,366.76,1,1012000,668,4
10,0,0.49,5,9,24,0.350220264,341.32,1,1179200,9378,3
7,0,0.29,2,31,54,0.503671072,369.94,0,818400,11775,2
7,1,0.23,2,32,96,0.458883994,351.92,1,818400,2211,3
8,0,0.42,2,18,30,0.262114537,332.84,1,1091200,6267,3
8,0,0.7,2,27,116,0.538179148,331.78,1,836000,6731,2
8,0,0.53,2,5,9,0.439060206,319.06,1,1003200,125,3
9,0,0.39,2,17,43,0.310572687,337.08,1,1056000,268,3
12,1,0.5,3,19,112,0.699706314,332.84,1,827200,1738,3
7,1,0.04,2,12,67,0.497797357,365.7,1,827200,830,1
9,0,0.41,8,6,24,0.919970631,358.28,1,809600,1715,2
8,0,0.44,2,6,16,0.406020558,360.4,1,968000,9318,3
13,0,0.55,2,5,47,0.707048458,323.3,1,880000,7677,3
8,1,0.12,2,15,59,0.498531571,340.26,1,844800,12443,2
12,0,0.55,2,5,22,0.709985316,340.26,1,959200,11549,3
13,1,0.45,2,20,46,0.773127753,321.18,1,897600,5006,3
8,1,0,2,8,13,0.430249633,356.16,1,880000,11966,4
8,0,0.32,2,14,87,0.513215859,338.14,1,844800,5027,3
11,0,0.39,16,6,15,0.714390602,325.42,1,959200,10645,2
6,1,0.06,2,38,46,0.353891336,356.16,0,836000,12279,2
10,0,0.47,2,17,31,0.406020558,362.52,1,976800,366,3
8,0,0.31,2,8,24,0.444933921,348.74,1,968000,11277,3
6,1,0,4,32,77.5,0.494126285,371,1,827200,1428,3
10,0,0.47,2,9,21,0.46328928,338.14,1,1003200,519,3
10,0,0.41,3,4,12,0.516152717,352.98,1,1073600,7452,4
8,1,0.23,2,20,45,0.385462555,351.92,0,844800,10896,2
7,1,0.07,2,16,86,0.542584435,374.18,1,853600,11762,3
6,0,0.53,2,6,14,0.104992658,352.98,0,1196800,36,3
7,0,0.42,2,14,21,0.437591777,354.04,1,968000,299,3
9,1,0.49,3,38,153,0.573421439,326.48,1,765600,10364,2
10,0,0.49,6,9,17,0.582232012,339.2,1,968000,4748,3
8,1,0.1,3,4,13,0.53671072,375.24,1,976800,2548,1
10,0,0.55,2,5,11,0.401615272,352.98,1,1047200,5900,3
8,1,0.05,2,8,32,0.615271659,348.74,1,818400,10758,2
11,1,0.66,2,7,23,0.5969163,350.86,1,924000,5128,2
8,0,0.28,2,19,122,0.494126285,334.96,1,841866.6667,9055,2
6,1,0.09,2,7,28,0.303230543,356.16,1,985600,4358,2
8,0,0.29,4,5,18,0.388399413,351.92,1,994400,4743,3
12,0,0.49,1,10,26,0.699706314,321.18,1,897600,2332,3
8,1,0,2,27,44,0.419236417,357.22,1,941600,6164,2
9,0,0.57,3,3,9,0.477973568,330.72,1,968000,7135,3
6,0,0.29,13,72,82,0.414831131,373.12,1,1047200,2751,3
8,1,0.12,2,38,48,0.386196769,358.28,0,888800,6522,2
7,0,0.49,2,26,67,0.332599119,355.1,1,1135200,11580,4
8,0,0.4,2,24,50,0.362701909,358.28,1,1073600,2877,4
8,1,0.36,6,7,23,0.389867841,345.56,1,1056000,10305,3
8,0,0.2,2,18,24,0.376651982,329.66,0,880000,7578,3
8,0,0.25,3,30,68,0.552863436,339.2,1,827200,4035,2
7,0,0.38,3,18,72,0.357562408,330.72,1,1056000,2125,4
8,1,0.08,3,14,27,0.584434655,367.82,1,827200,3745,3
9,0,0.43,2,12,21,0.400146843,355.1,1,1020800,5679,4
7,1,0.17,2,15,24,0.455212922,373.12,1,968000,11557,3
7,0,0.26,2,13,31,0.42143906,363.58,1,880000,11576,3
8,1,0.2,2,9,75,0.486784141,338.14,1,844800,574,2
9,1,0.04,2,24,43,0.450073421,332.84,0,844800,7566,2
11,0,0.52,3,10,24,0.508810573,339.2,1,1064800,9505,4
12,0,0.5,2,6,24,0.674008811,332.84,1,959200,2443,4
6,0,0.16,2,11,18,0.398678414,356.16,0,862400,5129,3
7,1,0.25,5,51,60,0.429515419,360.4,1,1012000,3991,3
10,0,0.49,3,5,17,0.655653451,338.14,1,941600,7631,3
11,0,0.48,2,14,33,0.582232012,343.44,1,862400,5509,3
8,1,0.42,2,8,31,0.582232012,365.7,1,950400,78,2
8,0,0.25,2,19,66,0.435389134,356.16,0,836000,6829,1
13,1,0.49,2,5,15,0.787812041,339.2,1,844800,8799,3
13,0,0.62,2,6,16,0.685022026,334.96,1,915200,5823,2
12,0,0.47,2,9,28,0.685022026,322.24,1,897600,10473,2
8,0,0.42,2,9,17,0.30763583,332.84,1,1091200,3176,3
7,1,0,2,12,30,0.47650514,374.18,1,836000,5681,2
6,1,0.02,2,8,32,0.479441997,377.36,1,862400,3377,2
7,1,0.02,3,35,73,0.508810573,351.92,1,818400,9776,1
8,1,0.22,2,43,145,0.494126285,342.38,1,827200,9533,2
10,1,0.11,3,30,73,0.802496329,337.08,1,792000,4161,2
9,0,0.41,2,10,24,0.351688693,345.56,1,1038400,6786,3
8,0,0.34,3,26,60,0.486784141,355.1,1,985600,5064,4
9,1,0.11,2,20,42,0.559471366,357.22,1,932800,2836,2
8,1,0.1,2,28,53,0.45154185,359.34,1,853600,4301,2
9,1,0.24,2,7,27,0.479441997,339.2,1,827200,11427,2
7,1,0.07,2,8,23,0.411894273,367.82,1,924000,1764,2
8,0,0.37,2,5,12,0.30763583,341.32,1,976800,4916,4
7,0,0.3,3,31,135,0.226872247,345.56,1,1020800,6422,3
9,0,0.57,2,14,27,0.373715125,343.44,1,994400,4565,4
9,1,0.02,2,4,28,0.60866373,375.24,1,897600,1476,3
6,1,0,2,7,16,0.341409692,371,1,1003200,8266,2
12,0,0.51,2,6,21,0.575624082,329.66,1,897600,8539,2
8,1,0.02,3,3,14,0.503671072,345.56,1,924000,2915,3
8,1,0.29,4,51,145,0.508810573,341.32,1,906400,959,2
7,1,0.05,5,4,11,0.495594714,352.98,1,994400,8117,2
12,0,0.66,2,6,20,0.640969163,319.06,1,880000,7679,2
8,0,0.42,2,8,32,0.494126285,366.76,1,888800,3363,3
8,0,0.23,2,18,34,0.354625551,341.32,1,862400,5209,3
9,1,0.34,2,7,31,0.60866373,355.1,1,924000,10923,2
8,1,0.22,3,14,104,0.490455213,338.14,1,844800,10690,2
9,0,0.27,2,29,136,0.611600587,334.96,1,809600,6935,2
9,0,0.47,2,19,52,0.501468429,354.04,1,924000,2374,4
6,1,0.15,2,6,19,0.482378855,354.04,1,862400,3754,2
9,0,0.33,2,12,19,0.502936858,360.4,1,906400,11064,4
9,1,0.24,2,7,28,0.655653451,357.22,0,897600,8471,2
8,1,0.06,2,14,113,0.361967695,306.34,0,818400,10121,2
9,1,0.28,2,11,32,0.475036711,352.98,1,836000,2218,2
8,0,0.29,4,17,44,0.47650514,355.1,1,985600,6806,3
8,0,0.4,3,8,18,0.532305433,352.98,1,924000,5498,2
7,1,0.08,2,42,44,0.378120411,349.8,1,985600,157,3
7,1,0.01,2,11,20,0.435389134,352.98,1,906400,3708,2
10,0,0.4,2,6,10,0.526431718,343.44,1,1003200,726,2
7,1,0.02,2,35,92,0.40969163,344.5,1,976800,7472,3
7,1,0,2,7,13,0.353157122,362.52,1,968000,3421,2
9,0,0.36,2,6,15,0.417767988,349.8,1,827200,9891,3
7,1,0.01,2,17,34,0.427312775,355.1,1,809600,337,2
7,0,0.14,3,15,25,0.479441997,364.64,1,1064800,2393,3
11,0,0.54,3,9,17,0.52349486,340.26,1,968000,683,3
9,1,1,2,37,153,0.516152717,352.98,0,862400,10206,3
10,1,0.27,2,7,54,0.5969163,340.26,1,818400,3402,2
10,0,0.4,2,6,16,0.56020558,354.04,1,959200,5631,4
8,0,0.37,3,24,110,0.516152717,306.34,2,800800,9442,2
12,0,0.52,2,14,25,0.589574156,320.12,1,862400,1556,4
8,1,0.2,1,9,65,0.486784141,358.28,1,818400,7380,2
11,0,0.5,3,20,55,0.582232012,334.96,1,836000,4969,2
13,0,0.49,3,5,21,0.626284875,327.54,1,1003200,3415,3
5,1,0,1,16,59,0.107929515,425.06,1,1196800,3946,4
7,1,0.08,4,9,18,0.418502203,363.58,1,941600,899,4
7,1,0,2,14,38,0.479441997,360.4,1,836000,1552,2
7,1,0.07,2,11,16,0.442731278,362.52,1,968000,3381,3
12,0,0.48,2,8,20,0.670337739,327.54,1,915200,2412,2
12,0,0.51,3,26,89,0.746696035,338.14,1,836000,823,2
12,0,0.49,4,19,43,0.567547724,333.9,1,836000,11283,2
7,1,0.01,2,8,25,0.52349486,367.82,1,809600,5944,2
11,0,0.66,3,12,25,0.457415565,320.12,1,1056000,4209,3
7,0,0.15,2,8,44,0.406020558,359.34,0,809600,6710,2
8,1,0,2,30,35,0.378120411,354.04,1,950400,5093,2
9,0,0.45,1,21,46,0.611600587,359.34,1,853600,5317,2
10,1,0.64,4,6,19,0.685022026,334.96,1,844800,6293,2
6,1,0.21,2,8,25,0.500734214,382.66,1,818400,7073,3
7,1,0.05,2,13,31,0.395007342,362.52,1,959200,9859,3
6,0,0.19,3,10,25,0.500734214,340.26,1,906400,10455,3
7,0,0.04,2,6,15,0.435389134,355.1,1,792000,4548,3
7,1,0.02,2,9,14,0.406020558,359.34,1,853600,3886,3
10,0,0.46,2,5,13,0.685022026,332.84,1,800800,7692,3
8,1,0.24,2,5,15,0.534508076,357.22,1,836000,5775,3
8,0,0.53,2,7,21,0.46989721,356.16,1,924000,10499,2
8,0,0.42,2,9,24,0.486784141,351.92,1,827200,10342,3
10,0,0.49,5,9,28,0.5969163,337.08,1,809600,2275,3
9,0,0.51,2,17,29,0.351688693,339.2,1,994400,1989,4
7,1,0.02,2,26,85,0.475770925,354.04,1,836000,1631,2
7,1,0,2,3,8,0.334067548,336.02,1,862400,7203,2
11,0,0.49,3,5,21,0.655653451,341.32,1,880000,9892,2
6,0,0.19,2,13,31,0.538179148,387.96,1,950400,1346,4
8,2,0.05,2,10,39,0.56020558,374.18,1,871200,12419,3
9,0,0.39,2,12,31,0.310572687,332.84,1,994400,12005,5
7,1,0.12,2,4,7,0.435389134,356.16,1,888800,11154,1
6,1,0.2,2,14,39,0.500734214,375.24,1,950400,409,3
13,0,0.49,4,10,24,0.552863436,325.42,1,1056000,11265,3
7,0,0.33,2,14,42,0.528634361,367.82,1,818400,11361,2
12,0,0.51,2,12,30,0.534508076,340.26,1,871200,12388,4
11,0,0.66,4,6,18,0.350220264,340.26,1,1179200,4912,4
9,0,0.34,2,5,17,0.626284875,352.98,1,924000,6770,2
6,0,0.14,1,15,25,0.331864905,354.04,1,862400,9596,3
7,1,0,2,15,21,0.435389134,354.04,1,862400,7095,2
10,0,0.42,2,6,16,0.563142438,341.32,1,915200,5733,2
10,0,0.59,3,11,27,0.457415565,328.6,1,1056000,1246,4
8,1,0.34,2,28,79,0.545521292,356.16,1,871200,4788,2
9,1,0.11,3,17,40,0.611600587,364.64,1,976800,424,3
7,1,0.02,2,35,111,0.45154185,352.98,1,827200,5476,2
8,1,0.19,2,15,105,0.361967695,346.62,1,976800,10603,3
9,1,0.26,2,9,21,0.486784141,347.68,1,809600,8307,2
7,1,0,2,13,35,0.52349486,358.28,1,827200,478,4
8,1,0,2,5,14,0.486784141,344.5,1,836000,8043,3
11,0,0.41,1,7,15,0.491189427,340.26,1,959200,11484,4
12,0,0.51,2,17,69,0.707048458,322.24,1,818400,7155,2
8,0,0.25,4,5,16,0.52349486,348.74,1,844800,8674,3
7,1,0,3,8,16,0.398678414,359.34,0,950400,11268,2
10,1,0.27,2,35,152,0.569016153,333.9,1,809600,8942,2
7,0,0.25,2,4,28,0.42143906,360.4,1,796400,9017,2
7,1,0.25,2,32,141,0.501468429,364.64,1,836000,5293,2
8,1,0.29,2,15,81,0.457415565,340.26,1,836000,11763,3
9,0,0.39,2,4,17,0.516152717,351.92,1,800800,140,3
6,0,0.25,2,13,50,0.500734214,366.76,1,836000,11552,3
9,0,0.32,3,21,84,0.5969163,347.68,1,853600,12168,2
11,0,0.57,2,7,26,0.72907489,322.24,1,836000,3706,2
7,0,0.24,2,19,36,0.316446402,361.46,1,985600,8042,3
9,1,0.31,3,17,40,0.714390602,368.88,2,862400,4845,2
9,0,0.33,2,52,68,0.57195301,367.82,1,976800,5759,3
7,0,0.27,2,21,37,0.400881057,357.22,1,915200,8301,2
7,0,0.49,2,26,121,0.386930984,356.16,1,985600,9209,3
9,0,0.45,2,20,46,0.611600587,358.28,1,800800,12026,2
8,1,0.11,2,7,23,0.464757709,343.44,1,818400,99,2
7,1,0.09,4,6,48,0.685022026,358.28,1,888800,5479,2
8,1,0.31,2,21,112,0.494126285,306.34,1,836000,4420,2
10,0,0.46,1,6,14,0.685022026,332.84,1,809600,7624,3
6,0,0,1,25,52,0.331864905,369.94,1,985600,836,3
8,1,0,6,32,115,0.522026432,339.2,1,844800,3097,2
7,0,0.04,2,13,26,0.479441997,366.76,1,924000,3813,2
9,1,0,3,9,22,0.711453744,356.16,0,827200,6637,2
8,0,0.06,4,26,94,0.538179148,341.32,1,871200,9651,3
7,1,0.32,2,51,148,0.494126285,356.16,1,827200,8153,2
8,1,0,2,10,18,0.449339207,344.5,1,853600,8080,2
12,0,0.56,2,6,20,0.699706314,338.14,1,994400,12383,2
9,1,0.49,2,21,77,0.473568282,304.22,2,800800,9609,3
7,1,0.08,2,10,16,0.442731278,361.46,1,888800,4462,2
14,0,0.44,2,14,33,0.802496329,337.08,1,844800,992,3
8,1,0,2,7,15,0.389867841,334.96,0,862400,7646,2
8,1,0.7,2,30,110,0.40969163,319.06,1,836000,1311,2
8,1,0.03,2,14,111,0.389867841,346.62,1,906400,11379,2
7,1,0.01,2,8,27,0.567547724,372.06,1,862400,508,2
